Agente,Módulo,Datos,Fecha/Hora
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","1.00","2014-11-19 16:31:24"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-19 16:37:32"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-20 16:40:06"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-21 16:42:52"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-22 16:44:23"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-23 16:45:54"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-24 16:47:25"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-25 16:49:06"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-26 16:50:50"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-27 16:52:50"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-28 16:54:26"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-11-29 16:57:12"
